Section,Sr_No,IS_Standard_No,Title_Product_Category,Requirement_Specific_Details,Notification_QCO_Details
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),6,IS/IEC 62368 Part 1:2023,"Visual Display Units, Video Monitors of screen size 32"" & above",As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 03 Oct 2012, Notification No. S.O.2357(E) dtd 7 Sep 2012; Amendments: S.O.822(E) dtd 20 Mar 2013, S.O.2033(E) dtd 2 Jul 2013, S.O.2034(E) dtd 25 Jun 2013; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),7,IS/IEC 62368 Part 1:2023,"Printers, Plotters",As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 03 Oct 2012, Notification No. S.O.2357(E) dtd 7 Sep 2012; Amendments: S.O.822(E) dtd 20 Mar 2013, S.O.2033(E) dtd 2 Jul 2013, S.O.2034(E) dtd 25 Jun 2013; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),8,IS/IEC 62368 Part 1:2023,Scanners,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 03 Oct 2012, Notification No. S.O.2357(E) dtd 7 Sep 2012; Amendments: S.O.822(E) dtd 20 Mar 2013, S.O.2033(E) dtd 2 Jul 2013, S.O.2034(E) dtd 25 Jun 2013; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),9,IS/IEC 62368 Part 1:2023,Wireless Keyboards,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 03 Oct 2012, Notification No. S.O.2357(E) dtd 7 Sep 2012; Amendments: S.O.822(E) dtd 20 Mar 2013, S.O.2033(E) dtd 2 Jul 2013, S.O.2034(E) dtd 25 Jun 2013; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),10,IS/IEC 62368 Part 1:2023,Telephone Answering Machines,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 03 Oct 2012, Notification No. S.O.2357(E) dtd 7 Sep 2012; Amendments: S.O.822(E) dtd 20 Mar 2013, S.O.2033(E) dtd 2 Jul 2013, S.O.2034(E) dtd 25 Jun 2013; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),11,IS/IEC 62368 Part 1:2023,Amplifiers with input power 2000W and above,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 03 Oct 2012, Notification No. S.O.2357(E) dtd 7 Sep 2012; Amendments: S.O.822(E) dtd 20 Mar 2013, S.O.2033(E) dtd 2 Jul 2013, S.O.2034(E) dtd 25 Jun 2013; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),12,IS/IEC 62368 Part 1:2023,Electronic Musical Systems with input power 200W and above,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 03 Oct 2012, Notification No. S.O.2357(E) dtd 7 Sep 2012; Amendments: S.O.822(E) dtd 20 Mar 2013, S.O.2033(E) dtd 2 Jul 2013, S.O.2034(E) dtd 25 Jun 2013; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),13,IS 302-2:26,Electronic Clocks with Mains Power,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 03 Oct 2012, Notification No. S.O.2357(E) dtd 7 Sep 2012; Amendments: S.O.822(E) dtd 20 Mar 2013, S.O.2033(E) dtd 2 Jul 2013, S.O.2034(E) dtd 25 Jun 2013; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),14,IS/IEC 62368 Part 1:2023,Set Top Box,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 03 Oct 2012, Notification No. S.O.2357(E) dtd 7 Sep 2012; Amendments: S.O.822(E) dtd 20 Mar 2013, S.O.2033(E) dtd 2 Jul 2013, S.O.2034(E) dtd 25 Jun 2013; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),15,IS/IEC 62368 Part 1:2023,Automatic Data Processing Machine,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 03 Oct 2012, Notification No. S.O.2357(E) dtd 7 Sep 2012; Amendments: S.O.822(E) dtd 20 Mar 2013, S.O.2033(E) dtd 2 Jul 2013, S.O.2034(E) dtd 25 Jun 2013; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),16,IS/IEC 62368 Part 1:2023,Power Adaptors for IT Equipments,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 03 Oct 2012, Notification No. S.O.2357(E) dtd 7 Sep 2012; Amendments: S.O.822(E) dtd 20 Mar 2013, S.O.2033(E) dtd 2 Jul 2013, S.O.2034(E) dtd 25 Jun 2013; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),17,IS/IEC 62368 Part 1:2023,"Power Adaptors for Audio, Video & Similar Electronic Apparatus",As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),18,IS 16242 Part 1,UPS/Inverter of rating <=5kVA,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),19,IS 15885 Part 2/Sec 13,DC or AC Supplied Electronic Control gear for LED Modules,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),20,IS 16046,Sealed Secondary Cells/Batteries containing Alkaline or other non-acid Electrolytes for portable applications,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),21,IS 16102 Part 1,Self-Ballast LED Lamps for General Lighting Services,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),22,IS 10322 Part 5/Sec 1,Fixed General Purpose LED Luminaries,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),23,IS/IEC 62368 Part 1:2023,Mobile Phones,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),24,IS/IEC 62368 Part 1:2023,Cash Registers,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),25,IS/IEC 62368 Part 1:2023,Point of Sale Terminals,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),26,IS/IEC 62368 Part 1:2023,Copying Machines/Duplicators,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),27,IS/IEC 62368 Part 1:2023,Smart Card Readers,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),28,IS/IEC 62368 Part 1:2023,Mail Processing Machines/Franking Machines,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),29,IS/IEC 62368 Part 1:2023,Passport Reader,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),30,IS/IEC 62368 Part 1:2023,Power Banks for use in portable applications,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),31,IS 16333 Part-3,Mobile Phones (Indian Language Support - Specific Requirements),As per essential requirements/safety requirements of the cited IS standard,"SO No. Nil dtd 24 Oct 2016; Date of Implementation 1 Jul 2017; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),32,IS 10322 Part 5/Section 2:2012,Recessed LED Luminaries,As per essential requirements/safety requirements of the cited IS standard,"S.O.2742(E) dtd 17 Aug 2017; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Essential Requirement for CCTV as per Annexure, S.O.1652(E) dtd 9 Apr 2024; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),33,IS 10322 Part 5/Section 3:2012,LED Luminaires for Road and Street lighting,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),34,IS 10322 Part 5/Section 5:2013,LED Flood Lights,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),35,IS 10322 Part 5/Section 6:2013,LED Hand lamps,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),36,IS 10322 Part 5/Section 7:2013,LED Lighting Chains,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),37,IS 10322 Part 5/Section 8:2013,LED Luminaires for Emergency Lighting,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),38,IS 16242 Part 1:2014,UPS/Inverter of rating <=10kVA,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),39,IS/IEC 62368 Part 1:2023,"Plasma/LCD/LED Television of screen size upto 32""",As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),40,IS/IEC 62368 Part 1:2023,"Visual Display Units, Video Monitors of screen size upto 32""",As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),41,IS/IEC 62368 Part 1:2023,CCTV Cameras/CCTV Recorders,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),42,IS 302 Part 1:2008,Adapters for household and similar electrical appliances,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),43,IS/IEC 62368 Part 1:2023,"USB driven Barcode readers, barcode scanners, Iris scanners, Optical fingerprint scanners",As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),44,IS/IEC 62368 Part 1:2023,Smart watches,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),45,IS 16103 Part 1:2012,Standalone LED Modules for General Lighting,As per essential requirements/safety requirements of the cited IS standard,"SO 1236(E) dtd 01 Apr 2020; Date of implementation on expiry of six months (01 Oct 2020); Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),46,IS 10322 Part 5/Section 9:2017,Lighting Chain (Rope Lights),As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),47,IS/IEC 62368 Part 1:2023,Keyboard,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),48,IS 302 Part 2/Section 6:2009,Induction Stove,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),49,IS/IEC 62368 Part 1:2023,Automatic Teller Cash dispensing machines,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),50,IS/IEC 62368 Part 1:2023,USB Type External Hard Disk Drive,As per essential requirements/safety requirements of the cited IS standard,"Amendment to Electronics and IT Goods (Requirement for Compulsory Registration) Order, 2021, S.O.2204(E) dtd 5 May 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),51,IS/IEC 62368 Part 1:2023,Wireless Headphone and Earphone,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),52,IS/IEC 62368 Part 1:2023,USB Type External Solid-State Storage Devices (above 256 GB capacity),As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),53,IS/IEC 62368 Part 1:2023,Electronic Musical System with input power below 200 Watts,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),54,IS/IEC 62368 Part 1:2023,Standalone Switch Mode Power Supplies (SMPS) with output voltage 48V (max),As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),55,IS/IEC 62368 Part 1:2023,Television other than Plasma/LCD/LED TVs,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
