Serial No,Indian Standard Number,Unit,Large Scale Enterprise Rate,MSME Rate,Slab 1 Unit Rate,Slab 1 Quantity,Slab 2 Unit Rate,Slab 2 Quantity,Slab 3 Unit Rate,Effective Date,Source Row
1785,IS 10245 (Part 4) : 1982 One Breathi ng Apparat us,,51000.0,41000.0,35.6,All,0.0,,0.0,20260421,"1785 IS 10245 (Part 4) : 1982 One Breathi ng Apparat us ₹ 51,000.00 ₹ 41,000.00 ₹ 35.60 All ₹ 0.00 0 ₹ 0.00 20260421"
1786,,IS 19084 : 2024 100 Pcs,86000.0,69000.0,0.4,All,0.0,,0.0,20260421,"1786 IS 19084 : 2024 100 Pcs ₹ 86,000.00 ₹ 69,000.00 ₹ 0.40 All ₹ 0.00 0 ₹ 0.00 20260421"
1787,,IS 740 : 1977 1 MT,68000.0,55000.0,34.3,All,0.0,,0.0,20260421,"1787 IS 740 : 1977 1 MT ₹ 68,000.00 ₹ 55,000.00 ₹ 34.30 All ₹ 0.00 0 ₹ 0.00 20260421"
1788,,IS 6457 : 2024 1 Pc,247000.0,198000.0,12.35,All,0.0,,0.0,20260421,"1788 IS 6457 : 2024 1 Pc ₹ 2,47,000.00 ₹ 1,98,000.00 ₹ 12.35 All ₹ 0.00 0 ₹ 0.00 20260421"
1789,,IS 4665 (Part 2/ Sec 5): 2023 IEC 60745-2- 5 : 2010 1 Piece,294000.0,236000.0,2.6,All,0.0,,0.0,20260421,"1789 IS 4665 (Part 2/ Sec 5): 2023 IEC 60745-2- 5 : 2010 1 Piece ₹ 2,94,000.00 ₹ 2,36,000.00 ₹ 2.60 All ₹ 0.00 0 ₹ 0.00 20260421"
1790,,IS 8856 (Part 1): 2025 1 MT,119000.0,96000.0,26.0,All,0.0,,0.0,20260421,"1790 IS 8856 (Part 1): 2025 1 MT ₹ 1,19,000.00 ₹ 96,000.00 ₹ 26.00 All ₹ 0.00 0 ₹ 0.00 20260421"
1791,,IS 17908 : 2023 1 MT,156000.0,125000.0,4.75,All,0.0,,0.0,20260421,"1791 IS 17908 : 2023 1 MT ₹ 1,56,000.00 ₹ 1,25,000.00 ₹ 4.75 All ₹ 0.00 0 ₹ 0.00 20260421"
1792,,IS 3964 : 1980 1 MT,126000.0,101000.0,5.8,All,0.0,,0.0,20260421,"1792 IS 3964 : 1980 1 MT ₹ 1,26,000.00 ₹ 1,01,000.00 ₹ 5.80 All ₹ 0.00 0 ₹ 0.00 20260421"
1793,,IS 926 : 1985 1 Piece,120000.0,96000.0,0.25,All,0.0,,0.0,20260421,"1793 IS 926 : 1985 1 Piece ₹ 1,20,000.00 ₹ 96,000.00 ₹ 0.25 All ₹ 0.00 0 ₹ 0.00 20260421"
1794,,IS 5326 : 2025 1 Piece,268000.0,215000.0,1.3,All,0.0,,0.0,20260421,"1794 IS 5326 : 2025 1 Piece ₹ 2,68,000.00 ₹ 2,15,000.00 ₹ 1.30 All ₹ 0.00 0 ₹ 0.00 20260421"
1795,,IS 1867 : 2023 100 Pieces,110000.0,88000.0,16.95,All,0.0,,0.0,20260521,"1795 IS 1867 : 2023 100 Pieces ₹ 1,10,000.00 ₹ 88,000.00 ₹ 16.95 All ₹ 0.00 0 ₹ 0.00 20260521"
1796,,IS 6307 : 2023 1 MT,170000.0,136000.0,35.45,All,0.0,,0.0,20260521,"1796 IS 6307 : 2023 1 MT ₹ 1,70,000.00 ₹ 1,36,000.00 ₹ 35.45 All ₹ 0.00 0 ₹ 0.00 20260521"
1797,,IS 19210 : 2025 1 MT,180000.0,144000.0,7.8,All,0.0,,0.0,20260521,"1797 IS 19210 : 2025 1 MT ₹ 1,80,000.00 ₹ 1,44,000.00 ₹ 7.80 All ₹ 0.00 0 ₹ 0.00 20260521"
1798,,IS 17440 : 2020 1 MT,152000.0,122000.0,6.25,All,0.0,,0.0,20260521,"1798 IS 17440 : 2020 1 MT ₹ 1,52,000.00 ₹ 1,22,000.00 ₹ 6.25 All ₹ 0.00 0 ₹ 0.00 20260521"
1799,,IS 18480 : 2025 1 MT,145000.0,116000.0,26.0,All,0.0,,0.0,20260521,"1799 IS 18480 : 2025 1 MT ₹ 1,45,000.00 ₹ 1,16,000.00 ₹ 26.00 All ₹ 0.00 0 ₹ 0.00 20260521"
1800,,IS 18841 : 2024 100 Pieces,79000.0,64000.0,7.9,All,0.0,,0.0,20260521,"1800 IS 18841 : 2024 100 Pieces ₹ 79,000.00 ₹ 64,000.00 ₹ 7.90 All ₹ 0.00 0 ₹ 0.00 20260521 6 THE GAZETTE OF INDIA : EXTRAORDINARY [PART III—SEC.4]"
1801,,IS 17524 :2021 1000 Pieces,118000.0,95000.0,1.85,All,0.0,,0.0,20260521,"1801 IS 17524 :2021 1000 Pieces ₹ 1,18,000.00 ₹ 95,000.00 ₹ 1.85 All ₹ 0.00 0 ₹ 0.00 20260521"
